code	ccd_comp_id	anomer	config	sugar	ring	linkage	method	onebead_target	identity	status
3ZB	BDP	beta	D	gluco	pyranuronic acid	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3aA	ARA	alpha	L	arabino	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3aB	ARB	beta	L	arabino	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3aD	AHR	alpha	L	arabino	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3aU	FUB	beta	L	arabino	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3bA	SOE	alpha	L	sorbo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3bB		beta	L	sorbo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3bD		alpha	L	sorbo	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3bU		beta	L	sorbo	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3cA		alpha	L	fructo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3cB		beta	L	fructo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3cD		alpha	L	fructo	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3cU	LFR	beta	L	fructo	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3dA		alpha	L	lyxo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3dB		beta	L	lyxo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3dD		alpha	L	lyxo	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3dU		beta	L	lyxo	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3eA	Z6H	alpha	L	altro	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3eB	3MK	beta	L	altro	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3fA	FUC	alpha	L	fuco	pyranose	3	ccd_name_index	FUC	alpha-L-Fucp	SUPPORTED_ONEBEAD
3fB	FUL	beta	L	fuco	pyranose	3	ccd_name_index	FUC	beta-L-Fucp	SUPPORTED_ONEBEAD
3gA		alpha	L	gluco	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3gB	Z8T	beta	L	gluco	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3hA	RAM	alpha	L	rhamno	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3hB	RM4	beta	L	rhamno	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3jA		alpha	L	tagato	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3jB		beta	L	tagato	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3jD		alpha	L	tagato	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3jU		beta	L	tagato	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3kA	GUP	alpha	L	gulo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3kB	Z8H	beta	L	gulo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3lA	GXL	alpha	L	galacto	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3lB	GIV	beta	L	galacto	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3mA		alpha	L	manno	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3mB		beta	L	manno	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3nA	Z2D	alpha	L	allo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3nB	WOO	beta	L	allo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3oA		alpha	L	galacto	pyranuronic acid	3	undecoded			UNSUPPORTED_ONEBEAD
3oB		beta	L	galacto	pyranuronic acid	3	undecoded			UNSUPPORTED_ONEBEAD
3pA		alpha	L	psico	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3pB		beta	L	psico	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3pD	SF6	alpha	L	psico	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3pU	SF9	beta	L	psico	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3qA		alpha	L	quinovo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3qB		beta	L	quinovo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3rA		alpha	L	ribo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3rB	0MK	beta	L	ribo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
